token_address,symbol,decimals,is_stable
0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,WETH,18,false
0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48,USDC,6,true
0xdAC17F958D2ee523a2206206994597C13D831ec7,USDT,6,true
0x6B175474E89094C44Da98b954EedeAC495271d0F,DAI,18,true
0x2260FAC5E5542a773Aa44fBCfeDf7C193bc2C599,WBTC,8,false
0x1f9840a85d5aF5bf1D1762F925BDADdC4201F984,UNI,18,false
0x514910771AF9Ca656af840dff83E8264EcF986CA,LINK,18,false
0x7Fc66500c84A76Ad7e9c93437bFc5Ac33E2DDaE9,AAVE,18,false
0x6982508145454Ce325dDbE47a25d4ec3d2311933,PEPE,18,false
0x95aD61b0a150d79219dCF64E1E6Cc01f0B64C4cE,SHIB,18,false
0xD31a59c85aE9D8edEFeC411D448f90841571b89c,WSOL,9,false
